student_id,topic,quiz_score,reading_time_seconds,quiz_time_seconds,attempts,hints_used,wrong_answers,correct_answers,mood,ease_rating,confidence_score,previous_score,improvement_rate,mistake_type,learning_style,proof_of_thought_score,socratic_engagement,teaching_verification,cognitive_depth,effort_consistency,needs_support,recommended_difficulty,learning_pace
S010,Essay Writing,58,205,237,1,3,4,6,confident,4,38,72,-14,reading_mistake,audio,65,85,78,76,90,0,medium,normal
S032,Geometry,92,15,402,1,2,1,9,confident,3,83,95,-3,careless_mistake,step_by_step,69,73,65,60,84,0,hard,fast
S079,Essay Writing,54,11,159,1,0,6,6,confident,3,60,67,-13,time_pressure,text,31,84,81,7,80,0,medium,normal
S018,Geometry,60,185,399,1,0,4,7,confident,5,50,56,4,concept_confusion,step_by_step,36,24,47,75,65,1,medium,normal
S037,Essay Writing,48,151,199,1,2,6,5,confident,2,31,58,-10,reading_mistake,audio,83,47,81,65,70,0,easy,slow
S065,Photosynthesis,69,702,392,2,1,3,8,confident,2,61,62,7,concept_confusion,visual,81,47,55,56,64,0,medium,normal
S082,Photosynthesis,41,475,216,2,2,6,4,need_revision,3,28,34,7,concept_confusion,visual,73,30,50,47,69,0,easy,slow
S099,Algebra,75,398,279,1,0,2,8,stressed,3,75,75,0,reading_mistake,audio,59,64,64,83,100,1,medium,normal
S071,Photosynthesis,54,522,432,2,4,6,6,stressed,1,74,45,9,concept_confusion,visual,82,80,63,64,67,1,medium,normal
S070,Fractions,48,114,386,1,2,5,5,need_revision,2,50,51,-3,time_pressure,step_by_step,74,91,63,65,79,0,easy,normal
S056,Algebra,68,32,317,1,0,4,7,confident,3,85,79,-11,reading_mistake,visual,39,48,100,82,95,0,medium,normal
S027,Algebra,52,516,283,2,0,5,5,stressed,3,51,39,13,reading_mistake,step_by_step,45,56,77,79,86,1,medium,normal
S031,Algebra,91,95,365,1,1,2,10,want_challenge,2,72,90,1,calculation_mistake,practice,98,100,31,51,62,0,hard,fast
S095,Geometry,97,10,51,1,2,0,10,need_revision,4,100,100,-3,careless_mistake,audio,42,53,50,59,46,0,hard,fast
S014,Photosynthesis,76,479,255,1,0,2,8,want_challenge,1,52,73,3,careless_mistake,audio,85,65,74,47,76,0,medium,normal
S026,Photosynthesis,68,10,208,1,0,5,7,confident,2,84,59,9,calculation_mistake,audio,73,38,84,72,62,0,medium,normal
S004,Algebra,56,33,439,1,1,4,8,confused,3,47,67,-11,reading_mistake,visual,91,100,60,100,87,0,medium,slow
S045,Essay Writing,62,12,449,1,1,4,7,confused,1,77,60,2,time_pressure,text,49,49,77,82,100,1,medium,normal
S034,Algebra,63,381,303,1,1,4,6,stressed,3,79,73,-10,reading_mistake,visual,67,50,96,35,48,1,medium,normal
S056,Geometry,69,173,404,1,2,3,7,need_revision,4,89,68,1,reading_mistake,practice,84,45,98,29,49,0,medium,normal
S078,Essay Writing,93,215,229,1,1,1,10,confident,2,73,100,-7,time_pressure,audio,91,76,40,82,59,0,hard,fast
S091,Photosynthesis,33,72,272,1,3,8,3,confident,4,45,39,-6,time_pressure,audio,86,84,89,58,75,1,easy,normal
S086,Geometry,90,608,274,1,0,1,10,stressed,2,88,95,-5,repeated_topic_weakness,visual,49,94,80,50,33,0,hard,fast
S053,Geometry,34,271,350,1,3,7,3,confused,3,35,26,8,reading_mistake,step_by_step,57,98,61,64,83,1,easy,slow
S087,Algebra,74,868,296,2,0,5,7,stressed,5,57,63,11,reading_mistake,practice,100,22,83,66,53,1,medium,normal
S001,Geometry,81,1503,260,1,0,2,9,confident,2,92,67,14,careless_mistake,step_by_step,84,72,90,54,71,0,hard,fast
S042,Photosynthesis,44,51,190,2,3,6,4,confused,1,68,38,6,repeated_topic_weakness,audio,90,60,97,72,70,1,easy,normal
S085,Fractions,66,84,181,1,2,3,8,confident,3,71,69,-3,repeated_topic_weakness,step_by_step,54,54,31,58,55,0,medium,normal
S043,Fractions,42,537,108,3,3,6,5,need_revision,3,69,50,-8,calculation_mistake,text,74,48,75,57,81,1,easy,normal
S019,Fractions,74,35,72,1,1,3,8,confident,2,57,68,6,careless_mistake,step_by_step,64,75,79,45,82,0,medium,normal
S099,Fractions,53,165,232,2,1,7,5,confused,3,53,65,-12,repeated_topic_weakness,step_by_step,67,71,41,74,49,1,medium,slow
S064,Photosynthesis,78,337,145,1,1,2,9,confident,3,73,75,3,repeated_topic_weakness,visual,47,45,53,56,58,0,medium,normal
S099,Fractions,65,483,323,2,0,4,8,need_revision,1,90,79,-14,calculation_mistake,audio,78,77,29,86,80,0,medium,normal
S090,Essay Writing,58,164,181,2,0,5,6,confused,2,69,72,-14,time_pressure,audio,100,67,68,53,72,0,medium,normal
S059,Algebra,61,457,192,1,0,5,6,need_revision,2,44,49,12,repeated_topic_weakness,step_by_step,26,67,93,20,88,0,medium,normal
S077,Geometry,14,282,302,3,3,9,2,want_challenge,3,15,0,14,careless_mistake,step_by_step,69,76,92,71,70,1,easy,slow
S071,Photosynthesis,38,202,262,1,2,6,5,want_challenge,2,36,35,3,repeated_topic_weakness,practice,79,74,55,26,88,1,easy,slow
S034,Algebra,87,63,98,1,1,2,9,need_revision,2,99,78,9,reading_mistake,step_by_step,62,63,68,60,76,0,hard,fast
S031,Geometry,88,109,349,1,2,1,9,confused,5,96,94,-6,repeated_topic_weakness,text,85,55,44,67,90,0,hard,fast
S070,Fractions,45,339,357,1,4,6,4,confident,1,33,40,5,calculation_mistake,practice,93,56,64,41,63,1,easy,normal
S009,Photosynthesis,47,451,69,2,6,6,5,confused,2,45,42,5,time_pressure,practice,88,11,63,29,65,1,easy,slow
S050,Essay Writing,62,642,397,1,2,4,7,want_challenge,2,63,63,-1,concept_confusion,step_by_step,43,40,89,46,54,1,medium,normal
S001,Geometry,75,57,328,1,0,2,8,confident,2,84,61,14,careless_mistake,practice,96,42,47,79,69,0,medium,normal
S069,Essay Writing,49,242,262,1,4,6,5,need_revision,3,35,42,7,calculation_mistake,practice,49,20,100,37,66,1,easy,normal
S050,Geometry,59,653,165,5,1,6,7,stressed,3,63,65,-6,careless_mistake,audio,70,94,71,66,59,1,medium,normal
S080,Essay Writing,41,175,296,2,4,6,4,confident,4,44,30,11,careless_mistake,step_by_step,67,35,60,42,61,1,easy,normal
S011,Photosynthesis,76,242,371,1,0,3,8,confident,4,64,62,14,careless_mistake,audio,82,75,87,72,77,0,medium,normal
S007,Geometry,69,39,10,1,1,3,8,confused,2,62,66,3,calculation_mistake,practice,73,43,100,54,71,1,medium,normal
S098,Photosynthesis,51,247,506,3,2,5,5,confident,4,61,39,12,careless_mistake,text,89,4,81,51,56,0,medium,normal
S061,Fractions,48,124,286,5,3,6,5,need_revision,2,64,41,7,concept_confusion,text,77,60,75,42,95,1,easy,normal
S100,Fractions,98,358,241,1,2,1,10,need_revision,1,93,100,-2,calculation_mistake,audio,50,67,67,40,56,0,hard,fast
S080,Algebra,72,86,277,1,1,4,7,confident,1,85,63,9,careless_mistake,visual,66,55,72,93,87,0,medium,normal
S073,Algebra,57,464,289,2,1,4,6,confused,5,47,66,-9,reading_mistake,text,100,64,87,39,70,1,medium,normal
S100,Algebra,73,21,369,2,1,3,9,want_challenge,1,57,86,-13,concept_confusion,step_by_step,53,80,58,64,71,0,medium,normal
S004,Geometry,64,473,86,2,1,4,7,stressed,2,87,65,-1,careless_mistake,practice,77,77,63,56,100,0,medium,normal
S026,Fractions,70,517,224,1,1,3,7,stressed,3,90,75,-5,repeated_topic_weakness,audio,90,32,9,81,51,1,medium,normal
S099,Geometry,69,285,378,1,1,3,7,want_challenge,2,80,58,11,time_pressure,visual,81,100,43,60,91,0,medium,normal
S073,Fractions,63,1242,345,2,2,4,6,confident,4,66,49,14,careless_mistake,text,59,34,74,55,74,0,medium,normal
S009,Essay Writing,56,1328,327,1,0,6,6,stressed,3,47,42,14,concept_confusion,practice,100,46,24,75,88,1,medium,slow
S014,Photosynthesis,34,602,424,3,2,8,4,want_challenge,3,30,46,-12,repeated_topic_weakness,practice,65,48,58,68,61,1,easy,normal
S056,Algebra,61,432,445,1,1,5,7,need_revision,2,55,59,2,repeated_topic_weakness,text,47,82,62,16,82,1,medium,normal
S069,Photosynthesis,54,404,290,2,1,7,5,confused,3,46,66,-12,repeated_topic_weakness,step_by_step,54,100,57,54,68,1,medium,normal
S012,Geometry,60,14,129,1,0,5,6,want_challenge,3,42,68,-8,calculation_mistake,practice,44,74,52,61,62,1,medium,normal
S086,Photosynthesis,50,534,303,2,0,7,6,confident,1,60,46,4,careless_mistake,text,68,77,57,42,64,0,medium,normal
S063,Algebra,57,887,443,3,0,6,6,confused,2,62,49,8,reading_mistake,text,69,47,68,45,50,1,medium,slow
S072,Fractions,52,45,296,1,1,5,5,confused,1,63,60,-8,calculation_mistake,visual,89,100,70,65,65,1,medium,slow
S063,Essay Writing,29,223,250,1,2,8,4,need_revision,1,31,20,9,repeated_topic_weakness,practice,89,98,63,45,47,1,easy,slow
S058,Fractions,28,764,141,3,5,8,3,confident,3,18,30,-2,calculation_mistake,practice,86,35,76,81,72,1,easy,slow
S085,Essay Writing,48,289,279,1,3,6,6,confused,3,30,41,7,time_pressure,step_by_step,70,79,70,47,75,1,easy,slow
S046,Photosynthesis,42,53,310,2,3,6,4,confident,1,52,49,-7,reading_mistake,audio,90,53,50,56,86,1,easy,normal
S041,Fractions,67,267,243,1,1,4,7,need_revision,1,65,75,-8,repeated_topic_weakness,audio,63,38,56,37,66,0,medium,normal
S025,Algebra,58,50,377,1,2,4,6,need_revision,4,40,47,11,reading_mistake,step_by_step,94,62,95,100,70,0,medium,slow
S013,Algebra,73,43,288,2,0,3,7,confident,2,73,62,11,reading_mistake,audio,68,58,69,64,83,0,medium,normal
S039,Fractions,34,174,151,2,3,9,3,need_revision,2,24,35,-1,calculation_mistake,text,100,61,77,49,51,1,easy,normal
S071,Geometry,68,262,247,2,0,4,8,stressed,3,74,74,-6,calculation_mistake,practice,85,65,74,81,71,1,medium,normal
S002,Essay Writing,71,39,260,1,2,3,8,confident,3,86,81,-10,careless_mistake,practice,100,35,28,98,81,0,medium,normal
S044,Algebra,68,134,353,1,1,4,8,want_challenge,3,52,58,10,reading_mistake,practice,54,77,80,61,86,0,medium,normal
S015,Fractions,93,514,430,1,2,2,10,confused,4,71,92,1,concept_confusion,step_by_step,78,48,78,83,78,0,hard,fast
S020,Essay Writing,73,285,297,1,1,3,7,want_challenge,2,74,70,3,concept_confusion,audio,67,45,71,50,79,0,medium,normal
S016,Essay Writing,41,421,292,2,3,6,4,need_revision,4,45,42,-1,time_pressure,step_by_step,71,60,31,84,57,1,easy,normal
S100,Essay Writing,71,658,10,1,0,4,8,confused,3,74,59,12,careless_mistake,text,97,67,54,59,43,1,medium,normal
S055,Geometry,51,297,259,1,1,5,5,stressed,2,53,53,-2,concept_confusion,step_by_step,28,51,68,38,73,1,medium,normal
S081,Algebra,86,713,288,1,1,1,9,confident,3,73,91,-5,concept_confusion,audio,78,79,89,61,72,0,hard,fast
S071,Fractions,52,456,268,2,0,6,5,confident,1,48,50,2,careless_mistake,practice,64,66,21,86,57,0,medium,slow
S038,Fractions,93,611,383,2,1,1,10,confident,4,87,78,15,repeated_topic_weakness,text,100,53,77,49,67,0,hard,fast
S059,Fractions,65,93,199,1,1,4,6,stressed,2,25,64,1,reading_mistake,step_by_step,83,54,83,41,91,1,medium,normal
S026,Photosynthesis,53,182,213,1,2,5,5,confident,2,49,58,-5,calculation_mistake,audio,44,84,48,72,51,0,medium,normal
S010,Fractions,100,326,483,2,2,0,10,confident,3,100,86,14,reading_mistake,step_by_step,100,57,51,59,78,0,hard,fast
S073,Geometry,66,23,173,1,0,4,7,confused,2,70,58,8,careless_mistake,text,62,82,75,56,76,1,medium,normal
S035,Essay Writing,71,18,474,3,0,3,7,confused,4,59,84,-13,careless_mistake,visual,83,63,70,91,67,1,medium,normal
S056,Geometry,38,296,294,3,4,7,5,stressed,4,46,52,-14,concept_confusion,visual,67,28,74,100,49,1,easy,normal
S098,Geometry,68,1191,233,1,4,5,7,stressed,2,80,53,15,calculation_mistake,practice,99,55,71,81,76,1,medium,normal
S036,Algebra,75,141,436,1,1,2,8,want_challenge,3,66,71,4,careless_mistake,practice,40,44,71,44,46,0,medium,normal
S061,Geometry,38,471,139,4,3,6,4,confused,1,48,48,-10,reading_mistake,visual,53,74,43,74,95,1,easy,slow
S037,Photosynthesis,54,248,117,2,2,5,7,need_revision,2,32,46,8,time_pressure,visual,74,48,44,52,76,0,medium,slow
S012,Geometry,65,157,370,2,2,4,8,confident,2,40,54,11,concept_confusion,practice,89,15,100,77,67,0,medium,normal
S066,Fractions,53,385,241,1,2,5,5,stressed,2,65,46,7,time_pressure,practice,96,54,87,38,52,1,medium,normal
S067,Geometry,82,60,357,1,3,2,9,stressed,4,87,93,-11,careless_mistake,practice,72,25,80,32,36,0,hard,fast
S037,Photosynthesis,59,894,207,3,0,5,6,want_challenge,3,54,69,-10,careless_mistake,visual,74,73,73,76,60,0,medium,normal
S081,Essay Writing,53,122,189,5,2,5,6,need_revision,2,51,57,-4,repeated_topic_weakness,audio,75,53,86,67,71,0,medium,slow
S071,Fractions,47,258,330,2,2,5,5,stressed,4,49,35,12,concept_confusion,audio,74,30,85,60,90,0,easy,normal
S060,Fractions,60,821,252,3,0,4,6,stressed,1,53,56,4,calculation_mistake,practice,39,82,52,90,61,1,medium,normal
S091,Geometry,30,396,256,2,4,7,3,confused,2,23,43,-13,careless_mistake,practice,75,68,61,68,69,1,easy,slow
S025,Essay Writing,67,1158,206,1,1,3,7,confused,3,100,54,13,calculation_mistake,visual,51,39,69,61,59,1,medium,normal
S054,Geometry,68,23,291,1,2,3,7,want_challenge,3,85,68,0,time_pressure,text,90,75,100,100,55,0,medium,normal
S001,Geometry,36,65,443,2,5,7,5,need_revision,2,67,47,-11,time_pressure,step_by_step,52,57,71,63,45,1,easy,slow
S020,Photosynthesis,56,170,474,2,1,4,8,confused,4,44,45,11,reading_mistake,text,56,40,27,69,49,1,medium,slow
S059,Geometry,30,171,427,2,3,8,3,want_challenge,3,18,31,-1,repeated_topic_weakness,audio,73,75,30,65,82,1,easy,normal
S100,Photosynthesis,59,329,276,2,1,4,8,confident,4,50,54,5,repeated_topic_weakness,practice,87,34,73,26,94,0,medium,slow
S050,Algebra,55,70,296,1,1,4,6,confused,4,56,67,-12,concept_confusion,audio,85,66,76,79,65,1,medium,slow
S013,Photosynthesis,52,111,309,2,0,7,7,confident,1,53,43,9,careless_mistake,visual,25,45,43,50,85,1,medium,slow
S084,Algebra,93,647,310,1,1,1,9,confident,1,77,91,2,reading_mistake,text,65,11,96,50,71,0,hard,fast
S051,Fractions,87,467,337,1,1,2,10,want_challenge,1,83,82,5,repeated_topic_weakness,step_by_step,63,32,53,80,100,0,hard,fast
S041,Photosynthesis,33,283,112,3,3,8,3,want_challenge,3,19,46,-13,concept_confusion,step_by_step,52,51,45,73,82,1,easy,slow
S030,Fractions,60,68,31,1,1,4,6,confused,3,81,72,-12,concept_confusion,visual,89,66,76,81,82,1,medium,normal
S089,Geometry,86,68,290,1,0,1,9,want_challenge,2,100,85,1,concept_confusion,text,53,58,89,50,69,0,hard,fast
S038,Geometry,66,20,272,2,1,3,8,confused,3,49,72,-6,calculation_mistake,audio,56,74,94,42,91,1,medium,normal
S073,Algebra,55,129,287,2,2,6,6,confident,3,46,48,7,concept_confusion,step_by_step,97,68,80,72,52,0,medium,slow
S080,Algebra,66,333,440,1,0,5,8,confused,3,77,55,11,time_pressure,audio,76,91,70,45,44,1,medium,normal
S082,Geometry,48,316,450,1,5,6,5,confused,2,31,55,-7,repeated_topic_weakness,visual,92,71,83,38,71,1,easy,slow
S087,Essay Writing,63,303,182,1,1,4,6,confident,2,78,51,12,careless_mistake,text,80,66,64,73,80,0,medium,normal
S076,Geometry,52,73,345,2,2,6,6,stressed,3,30,65,-13,careless_mistake,text,100,45,69,52,78,1,medium,slow
S026,Photosynthesis,82,1025,544,1,0,5,8,want_challenge,1,78,88,-6,concept_confusion,audio,59,86,77,81,100,0,hard,fast
S046,Essay Writing,84,265,333,3,1,2,8,confident,3,52,95,-11,repeated_topic_weakness,text,19,32,87,59,80,1,hard,fast
S085,Photosynthesis,63,210,393,1,2,6,6,confident,2,74,48,15,time_pressure,visual,81,71,47,99,62,0,medium,normal
S078,Photosynthesis,58,10,334,3,3,4,6,need_revision,3,40,48,10,reading_mistake,audio,57,64,56,64,94,1,medium,slow
S029,Algebra,80,20,316,1,2,4,10,stressed,2,70,81,-1,repeated_topic_weakness,audio,57,65,66,83,68,1,hard,fast
S081,Fractions,61,20,251,4,1,4,6,confident,1,57,55,6,careless_mistake,visual,67,44,71,60,78,0,medium,normal
S075,Geometry,40,124,158,1,3,8,5,need_revision,1,52,54,-14,concept_confusion,text,100,64,43,36,70,1,easy,slow
S023,Algebra,36,250,378,1,3,7,4,confident,4,31,36,0,time_pressure,text,74,60,43,71,92,1,easy,slow
S022,Geometry,72,846,301,1,2,3,8,want_challenge,2,61,86,-14,careless_mistake,text,100,60,91,61,95,0,medium,normal
S096,Geometry,59,1054,400,3,0,5,7,need_revision,3,56,72,-13,careless_mistake,visual,100,100,89,48,65,0,medium,normal
S097,Algebra,79,392,114,1,0,2,8,want_challenge,3,100,76,3,repeated_topic_weakness,practice,80,65,72,87,80,0,medium,normal
S072,Geometry,62,129,181,1,2,4,6,confident,3,59,53,9,careless_mistake,visual,87,90,66,92,75,0,medium,normal
S034,Essay Writing,68,141,278,2,1,4,8,confident,4,46,77,-9,reading_mistake,text,86,83,60,28,65,0,medium,normal
S075,Photosynthesis,69,98,210,1,1,3,8,need_revision,2,80,82,-13,reading_mistake,visual,74,64,61,72,86,0,medium,normal
S087,Algebra,48,219,275,2,2,5,5,confused,2,66,38,10,time_pressure,step_by_step,100,36,87,66,78,1,easy,normal
S083,Fractions,45,1041,201,1,4,6,4,stressed,2,33,30,15,careless_mistake,text,76,60,63,74,62,1,easy,normal
S005,Geometry,56,82,198,1,2,4,6,want_challenge,3,59,48,8,concept_confusion,visual,84,77,68,71,80,0,medium,normal
S069,Algebra,77,158,188,1,2,3,8,confused,2,61,86,-9,reading_mistake,step_by_step,74,65,63,33,75,1,medium,normal
S096,Algebra,50,898,341,3,0,5,5,want_challenge,2,50,55,-5,repeated_topic_weakness,visual,64,65,90,74,74,0,medium,slow
S079,Photosynthesis,31,53,203,3,3,7,4,want_challenge,3,20,16,15,reading_mistake,visual,87,90,57,69,74,1,easy,normal
S057,Photosynthesis,72,413,143,1,0,4,7,want_challenge,3,49,61,11,reading_mistake,visual,72,31,78,22,85,0,medium,normal
S088,Geometry,73,194,343,1,0,4,7,confused,2,60,71,2,repeated_topic_weakness,text,72,76,58,54,92,1,medium,normal
S036,Algebra,73,456,213,1,1,3,7,want_challenge,2,70,63,10,careless_mistake,visual,78,69,45,61,76,0,medium,normal
S085,Algebra,58,162,317,1,3,4,6,stressed,4,52,50,8,time_pressure,visual,57,22,96,52,100,1,medium,normal
S073,Algebra,100,97,229,1,1,0,10,confident,2,91,92,8,time_pressure,audio,75,95,65,64,80,0,hard,fast
S030,Geometry,39,468,470,2,3,7,5,need_revision,2,56,27,12,time_pressure,visual,70,91,33,51,44,1,easy,normal
S017,Essay Writing,72,695,333,2,1,3,7,confident,2,76,59,13,calculation_mistake,visual,76,57,76,45,82,0,medium,normal
S085,Fractions,97,349,407,1,1,1,10,confident,1,100,100,-3,reading_mistake,audio,73,38,92,54,84,0,hard,fast
S003,Algebra,87,124,253,1,0,3,9,confident,2,72,96,-9,calculation_mistake,practice,50,48,62,61,62,0,hard,fast
S096,Fractions,57,262,291,1,1,4,6,confused,3,55,43,14,reading_mistake,step_by_step,71,45,96,68,70,1,medium,slow
S065,Algebra,42,114,281,1,2,6,4,want_challenge,2,20,49,-7,concept_confusion,step_by_step,87,73,49,59,60,0,easy,slow
S059,Fractions,26,200,232,2,4,7,3,confident,2,5,32,-6,careless_mistake,practice,68,58,71,84,86,1,easy,normal
S063,Photosynthesis,53,84,173,1,0,6,6,confident,1,38,42,11,concept_confusion,text,72,69,51,88,52,0,medium,normal
S009,Algebra,57,1471,279,1,4,5,6,confident,1,83,43,14,repeated_topic_weakness,step_by_step,100,82,100,60,69,1,medium,slow
S042,Photosynthesis,57,98,355,1,1,4,7,want_challenge,5,63,45,12,time_pressure,text,96,50,82,78,95,0,medium,slow
S065,Essay Writing,97,256,391,1,1,1,10,confused,3,82,100,-3,repeated_topic_weakness,visual,56,66,33,93,87,0,hard,fast
S099,Essay Writing,74,553,452,2,2,4,7,need_revision,2,73,72,2,calculation_mistake,practice,66,63,49,72,66,0,medium,normal
S058,Algebra,43,426,272,1,3,8,6,confused,3,25,35,8,careless_mistake,practice,66,38,66,55,68,1,easy,slow
S041,Geometry,1,164,328,1,2,10,0,confused,3,0,15,-14,calculation_mistake,practice,73,83,67,61,78,1,easy,normal
S012,Photosynthesis,47,288,303,2,3,5,5,confident,2,51,60,-13,repeated_topic_weakness,text,68,79,59,20,68,0,easy,normal
S076,Essay Writing,24,638,465,1,4,8,2,stressed,3,19,27,-3,repeated_topic_weakness,visual,96,74,93,50,43,1,easy,slow
